,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name,Energy Cost,Source,Type,Subtype,Speed,Offense,Defense,RulesText,FlavorText,image,CommentsTags,Comments,RelatedCards,TagsReal,Formats,Set
BEGIN_CARDS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
--- Created Cards ---,,,,,,,,The following cards cannot be put into your deck and are primarily created by other cards.,,,,,,,,
"Pyrus, Returned",2,e,Unit,Inkblood Archmage,-1,3,1,"Arrive<reality>: Destroy all other allied<reality> inkbloods to deal damage equal to twice the number that died this round to target<reality> card or player.
Enemy cards cost 1<energy> more.","A man named Pyrus sought imortality, so a new man named Pyrus was created.

Idk this is kinda bullshit text but whatever",y,,,,#created,,
Knight of Redemption,1,,Unit,Human Knight,-1,1,1,∞<speed> Whenever you resolve a nonunit card | Give ~ +1<offense> +1<defense> this round.,,y,,,,#created,,
Clue / Supply Cache,1,,Item,,0,,1,"Stacking
<X> = The number of stack counters on ~.
Skill∞<speed> | <energyX>, discard<board> ~: Draw <X> cards.",,y,,,,#created,,
Energy Flask,1,,Item,,0,,1,"Stacking
Skill∞<speed> | Discard ~: +1<energy> for each stack counter on ~.",,y,,,,#created,,
Three Paths,1,,Spell,,1,,1,"Choose one --
- Deal 1 damage to target<reality><dream> card or player.
- Cache the top card of your deck.
- Give target<reality><dream> card +2<offense> +2<defense> this round.",,y,,find a better name for this?,,#created,,
Watchman,1,,Unit,,0,2,1,Formation,,n,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
--- Arca ---,,,,,,,,,,,,,,,,
Eudoxia Unshackled,4,aaa,Unit,Zombie Paladin,-3,4,4,"Forget 6
Arrive<reality>: Target player's life total becomes 10.",,y,#int #Forget #memory2,,,,,
Remember the Fallen,2,aa,Spell,,1,,2,"Recall up to 2 target<memory> units.
Take 2 damage.",,y,#recall1,,,,,
Memory Wraith,1,aa,Unit,Nightmare,0,5,5,Forget 6,,y,#memory2 #threat,,,,,
Soul Splitter,4,aa,Item,,-1,,4,∞<speed> Whenever an allied unit arrives<reality>: Trigger it's ∞<speed> speed Dies and Depart<reality> abilities.,,y,#wincon #aristocrats #dies2 #engine,,,,,
Triple Spell,3,aa,Spell,,3,,3,Destroy target<reality> allied unit to copy target<dream> spell twice. You may choose new targets for the copies.,,y,#Spells #aristocrats #dies2,,,,,
Prismatic Refractor,4,aaa,Item,,-1,,3,"Vanishing
∞<speed> Whenever you channel a card: Create<reality> an Energy Flask. 
You cannot draw cards.",,y,#engine,,,,,
Forsaken Warlock,2,aa,Unit,Warlock,2,2,1,"Arrive<reality>: Choose one --
- Each player discards<reality> a unit.
- Give target unit lifesteal this round.
- Draw 1.",,y,#int #lifechange1,,,,,
Lekvian Butler,1,aa,Unit,Vampire,0,2,1,∞<speed> Arrive<reality>: Draw 1 and take 2 damage.,,y,#lifechange1 #aggro,,,,,
Lekvian Valet,2,aa,Unit,Vampire,0,2,3,∞<speed> Strike: Draw 1 and take 2 damage.,,y,#lifechange1 #striketrigger,,,,,
Eternal Guard,3,aa,Spell,,0,,3,Summon target<memory> unit and/or target<memory> item with base costs 2 or less.,,y,#memory2,,,,,
Headfirst,2,aa,Spell,,0,,2,"Target<reality> allied unit strikes target<reality> card or player, then is discarded.",,y,#Board_Discard1 #burn #int,,,,,
Spirt Guide,3,aa,Unit,Cleric,0,3,3,"∞<speed> Arrive<reality>: Discard<reality> a unit, then summon it from memory.",,y,#Board_Discard1 #dies2,#1,,,,
Warlock Hoarder,2,aa,Unit,Warlock,-1,2,3,∞<speed> Attack: Discard<reality> any number of cards to create<reality> that many Supply Caches.,,y,#Board_Discard1 #items1,,,,,
Battlefield Scavenger,2,a,Unit,Merchant,-1,3,1,∞<speed> Arrive<reality>: Cache the top card of your deck for each unit that died this round.,,y,#dies2,,,,,
Recurring Menace,2,aa,Unit,Zombie,-1,3,1,<memory> | When the third unit dies in a round: Summon ~ from memory.,,y,#dies2 #memory2,,,,,
Squiggly Slime,1,a,Unit,,0,1,1,∞<speed> Wenever an allied card dies: Give ~ a +1<offense> +1<defense> counter.,,y,#countes1 #dies2,,,,,
The Departed,1,aa,Unit,,0,1,1,∞<speed> Depart<reality>: Draw 1.,,y,#^Depart<reality>,,,,,
Gelatinous Cube,2,a,Unit,,0,1,1,Attack: Discard<reality> any number of cards to give ~ that many +1<offense> +1<defense> counters.,,y,#Board_Discard1 #counters1 #attacktrigger,,,,,
Get Back In There!,1,aa,Spell,,-1,,3,"Summon target<memory> unit with base cost 3 or less. 
Recast | 2<arca>, Discard<reality> 2 cards.",,y,#reanimate1 #memory2,,,,,
Pact of Consumption,1,aa,Spell,,2,,2,"Discard<reality> any number of cards to gain twice that much life.
Draw 1.",,y,#lifechange #Board_Discard1,,,,,
Void Drake,4,aa,Unit,Void Dragon,0,5,5,"Flying
Augment | 2<energy>2<arca>, Discard<reality> 2 units -- Play ~ only from memory.",,y,#Board_Discard1 #memory2,,,,,
Extract Essence,2,aa,Spell,,1,,3,Destroy target<reality> allied unit to draw 2 and create<reality> a Energy Flask.,,y,#Board_Discard1 #draw1,,,,,
Enter The Zone,4,aaa,Spell,,-2,,4,"Discard<reality> any number of units. 
For each discarded unit, you may summon from memory a unit with the same base cost.",,y,#wincon #Board_Discard1 #memory2 #aristocrats,,,,,
Recruiter of the Dead,2,aaa,Unit,,-1,2,1,Arrive<reality>: Summon target<memory> nonspell card with base cost 2 or less.,,y,#memory2 #aristocrats #^arrive,,,,,
Rift Arcanist,3,aa,Unit,,0,1,4,Attack: Summon target<memory> allied unit with base cost less than or equal to ~'s offense.,,y,#memory2 #aristocrats #^attack,,,,,
Greg and the BrainZ,2,aa,Unit,Zombie,0,1,2,∞<speed> Arrive<reality> or Depart<reality>: Create<reality> a 1/1 zombie unit token.,,y,#^arrive #^Depart<reality> #aristo,,,,,
Zombie Necromancer,2,aa,Unit,Zombie,-1,2,2,"∞<speed> Whenever an allied noncreated unit dies, create<reality> a 1/1 zombie unit token.",,y,#aristocrats #dies2,,,,,
Enraged Warlock,3,aaa,Unit,Warlock,-1,3,3,∞<speed> Whenever an enemy card dies: You may Cache target<memory> allied spell.,,y,#Cache #int2,,,,,
Void Summoner,2,aa,Unit,Wizard,-1,1,1,"Arrive<reality>: Create<reality> a 0/0 unit, give it a +1<offense> +1<defense> counter for each allied<memory><void> unit.",,y,#memory2 #counters1 #^arrive,,,,,
\ Something Egg,2,aa,Unit,,-1,2,1,∞<speed> Dies: Create<reality> a 4/4 unit.,,n,#aristocrats #^dies,,,,,
Gravity Well,3,aa,Spell,Void,1,,3,"Void target<reality> unit. It's controller summons it, then discards<reality> it.",,y,#int #aristocrats,,,,,
Can O' Army,4,aaa,Spell,Rift,-1,,4,"Summon a 1, 2, and 3 cost unit from your memory.",,y,#memory2 #aristocrats,,,,,
Void Knight,2,aa,Unit,,0,2,1,Arrive<reality>: You may discard<reality> a unit to summon a unit with base cost up to 2 greater from your hand.,,y,#aristocrats #Board_Discard1,,,,,
Blood Channeller,2,a,Unit,Vampire Cleric,0,1,1,"Lifesteal.
∞<speed> Whenever an allied unit dies: Deal 1 damage to each opponent.",,y,#aristocrats,,,,,
Haunted Warlock,3,aa,Unit,,-1,1,3,"<X> = The number of units that died this round.
Allied<reality> units have +<offenseX>.",,y,#dies2,,,,,
Zombie Spawning,4,aaa,Spell,,-1,,4,Create<reality> a 2/2 unit for each allied<memory><void> unit.,,y,#memory2,,,,,
Prospector Zombie,1,aa,Unit,Zombie,-1,1,1,Attack: Discard<reality> any number of cards to +1<energy> for each.,,y,#Board_Discard1,,,,,
Deathless Zombie,1,aa,Unit,Zombie,-1,2,1,<memory> | You may play ~ from memory if you have 8+ total allied<memory><void> cards.,,y,,,,,,
Two Zombies in a Trench Coat,2,a,Unit,Zombie,0,2,2,∞<speed> Dies: Create<reality> two 1/1 zombie units.,,y,#^dies,,,,,
Corrupted Ancient,3,aaa,Unit,Nightmare,-1,4,5,"Forget 5
speed% Arrive<reality>: Summon a unit of each base cost from your memory.",,y,#^Arrive #memory2,,,,,
Old Zombiemancer,2,aa,Unit,Warlock,0,2,2,∞<speed> Whenever you resolve a spell: Create<reality> a 1/1 zombie unit.,,y,#Spells2,,,,,
Eye for an Eye,2,aaa,Spell,,-1,,3,"Discard<reality> any number of units.
Target player discards<reality> that many units.",,y,#Board_Discard1,,,,,
Void Hound,1,a,Unit,Zombie Warlock,0,0,1,"Arrive<reality>: Deal 3 damage to each player.
Dies: Each player discards<hand> a card.",,y,#lifechange1 #discard<hand>1,,,,,
Ray of Scorn,3,aa,Spell,,-1,,3,Destroy target<reality><dream> unit.,,y,#int,This should probably be moved to another source since arca will be more stack interaction focused,,,,
Final Strike,3,aa,Spell,,2,,3,"Target<reality> unit strikes you, then destroy it.",,y,#int,,,,,
Squish,2,aa,Spell,,-1,,2,Destroy target<reality><dream> unit with total stats 6 or less.,,y,#int,,,,,
Zombie's Bite,1,a,Spell,,2,,2,"Deal 1 damage to target<reality><dream> card or player.
Create<reality> a 1/1 zombie unit.",,y,#int #zombies #burn,,,,,
Doomsday Prophet,2,aa,Unit,,-1,0,5,"The attacking player controls how ~ blocks.
∞<speed> Round end: Destroy all units.",,y,#int #sweeper,,,,,
Pain Conduit,2,aa,Item,,-1,,4,∞<speed> Whenever you take damage from your cards: Deal that much damage to each opponent.,,y,,,,,,
Rock O' Pain,2,a,Item,,0,,2,"Bloodlust
∞<speed> Arrive<reality> or Depart<reality>: Deal 2 damage to each player.",,y,,,,,,
More Useful Dead,2,a,Spell,,3,,4,Destroy target<reality> allied card to draw 2.,,y,,,,,,
The Vanishing,2,aa,Item,,-1,,3,Allied<any> units gain vanishing and cost 1<energy> less.,,y,#aristocrats,,,,,
Borrow Time,1,a,Item,,1,,4,"Vanishing
∞<speed> Arrive<reality>: Draw 1 and gain 5 life. 
∞<speed> Round end: Take 7 damage.",,y,#lifechange1,,,,,
Nameless Vampire,1,a,Unit,Vampire,0,1,2,"Overwhelm
∞<speed> Whenever you lose or gain life from your own cards: Give ~ +2<offense> this round.",,y,#lifechange2,,,,,
Familiar Shadow,1,aaa,Unit,Dream,0,10,10,"<X> = Your life total.
~ has -<offenseX> -<defenseX>.",,y,#lifechange2,,,,,
"Gaston, Lekvian Squire",1,a,Unit,Vampire Knight,0,2,2,"Arrive<reality>: Lose 3 life.
Depart<reality>: Gain 5 life.",,y,#lifechange1,,,,,
Mind Wipe,4,aa,Spell,,0,,4,"Target player discards all cards in their hand.
Augment | 2<arca> -- ~ can only target you. Draw 1.",,y,#int #discard<hand>,,,,,
Death Elemental,1,aa,Unit,,0,0,1,"Formation
<X> = The amount of life you lost this round.
~ has +<offenseX> +<defenseX>.",,y,#lifechange2,,,,,
Volcanic Giant,4,aa,Unit,,-1,6,6,"Swiftness
<X> = Your life total minus 5.
Augment | 2<arca>, <energyX>-- ∞<speed> Arrive<reality>: You may gain 4 life.",,y,#lifechange2,,,,,
Absorb,2,a,Spell,,0,,3,"Draw 2.
Take 4 damage.
Gain 1 life for each card you drew this round.",,y,#lifechange1 #draw1,,,,,
Necromancer's Touch,4,aaa,Spell,,1,,5,Destroy target<reality> allied unit to summon up to two units from your memory.,,y,,,,,,
Zombie Giant,6,a,Unit,Zombie,0,6,6,<any> | ~ costs 1<energy> less for each allied<memory><void> unit.,,y,,,,,,
Zombie Ritual,1,a,Spell,Zombie,3,,2,+1<energy> for each allied zombie.,,y,,,,,,
Zombieball,2,a,Unit,Zombie,0,1,1,Skill∞<speed> | Flip ~: +1<energy> for each allied<reality> zombie.,,y,,,,,,
Zombie General,3,a,Unit,,0,2,2,"Other allied<reality> zombies have +1<offense> +1<defense>
Skill∞<speed> | 1<energy>2<arca>, Void ~ from your memory: +2<energy>.",,y,,,,,,
Inspector Zombie,1,a,Unit,Zombie,0,2,1,∞<speed> Arrive<reality>: Inspect 4. Discard any number of inspected cards.,,y,,,,,,
Rift Conduit,2,aa,Item,,0,,3,Skill∞<speed> | Flip any number of allied units: +1<energy> for each.,,y,,,,,,
Goblin Scout,3,aa,Unit,,0,3,4,"Swiftness
Attack: You may discard<reality> a card to summon target card with base cost 2 or less from your memory.",,n,,,,,,
Eclectic Giant,8,a,Unit,,0,8,8,"Overwhelm
<any> | ~ costs 1<energy> less for each card you resolved, drew, recalled, discarded, cached, and/or destroyed, this round.",,y,,,,,,
Mysterious Book,1,aa,Item,,0,,3,"1 - ∞<speed> Arrive<reality>: Take 1 damage for each card you resolved this round.
      Your cards cost 1<energy> more.
v - Round end.
2 - Vanishing. Your cards cost 1<energy> less. This can't reduce the cost below 1.",,y,,,,,,
Cram Session,1,a,Item,,0,,3,"Choose <X> | A card type.
∞<speed> Whenever an allied <X> arrives<reality>: Discard the top 2 cards of your deck.",,y,,,,,,
Vanish,1,aa,Spell,,2,,2,Give target unit vanishing this round.,,y,,,,,,
Stabilized Rift,2,a,Claim,Rift,0,,4,"Energize 2
3<speed> Spellform | 1<energy>1<arca> -- Breakpoint. Draw 1.",,y,,Add secondary effect,,,,
Calibrated Rift,3,a,Claim,Rift,0,,4,"Energize 1
∞<speed> Arrive<reality>: Draw 1.
0<speed> Spellform | 4<arca> -- Draw 1.",,y,,,,,,
Dead on Arrival,3,aa,Spell,,3,,3,Destroy target<dream> card or ability.,,y,,,,,,
Irrefutable Command,2,a,Spell,,1,,3,Target<reality> unit strikes itself.,,y,,,,,,
Menacing Mirror,2,a,Item,,1,,4,∞<speed> Arrive<reality>: ~ becomes a copy of up to one target<reality> allied unit. Destroy that unit. ,,y,,,,,,
Rummaging,1,a,Spell,,2,,2,"Inspect 3. You may cache an inspected card. Discard the rest.
Recast | 1<energy>2<arca>",,y,,,,,,
Arca Insights,1,a,Spell,,0,,2,"Draw 1.
Take 2 damage.
Recast | 3<arca>",,y,,,,,,
Rosilie D'Avron,3,a,Unit,Vampire,1,3,1,"Flying, Lifesteal
∞<speed> Arrive<reality>: Draw 1.",,y,#^arrive,,,,,
Crumbling Tower,2,a,Claim,,0,,4,"Energize 1
∞<speed> Arrive<reality>: Inspect 3. Void an inspected card face down until ~ Departs<reality>. Discard the rest.
Skill | 1<energy>: Destroy ~",,y,,,,,,
Free Real Estate,0,a,Claim,,0,,4,"Energize 1
Arrive<reality>: Discard<reality> a claim.",,y,,,,,,
Eerie Graveyard,2,a,Claim,,0,,4,"Energize 1
Skill2<speed> | 1<energy>, Discard<reality> ~: Summon target claim from your memory.",,y,,,,,,
Toxic Swamp,3,a,Claim,,0,,4,"Energize 1
∞<speed> Arrive and round start: Discard<reality> a unit or ~ to draw 1.",,y,,,,,,
Give Lifesteal,1,a,Spell,,2,,2,"Give target unit lifesteal this round.
Draw 1.",,y,,,,,,
Healing Potion,1,a,Spell,,2,,2,"Choose one --
- Give target unit +2<defense> this round
- Gain 2 life.
Draw 1.",,y,,,,,,
Handy Hammer,2,a,Spell,,0,,3,"Choose one --
- Destroy target<reality> item with base cost 4 or less.
- Give target unit +2<offense> and lifesteal this round.",,y,,,,,,
Clingy Spirit,2,a,Unit,,1,3,2,∞<speed> Round start: Recall ~ from your memory and take 1 damage.,,y,,,,,,
Portal to Dream,1,a,Spell,,2,,3,Summon from your hand or memory a nonspell with base cost less than or equal your Domain.,,y,,,,,,
Phantom Artifact,4,aaa,Item,Relic,0,,3,"Choose <X> | A number 0-10.
∞<speed> Arrive: Dream<dream> the top <X> cards of your deck and take twice <X> damage.",,y,,,,,,
Void Spike,2,aa,Spell,Void,3,,3,Deal 3 damage to target<dream> card.,,y,,,,,,
Void Snap,1,aa,Spell,Void,3,,2,Deal 2 damage to target<dream> card or player.,,y,,,,,,
Regenerate,2,aa,Spell,,2,,3,"Gain 6 life.
Draw 1.",,y,,,,,,
Guile,2,aa,Unit,Wizard,0,2,3,∞<speed> Attack: Discard the unit to ~'s right to summon a unit with base cost 3 or less from your memory in it's place.,,y,,,,,,
"Horstace, Royal Tax Collector",2,aa,Unit,Vampire Noble,0,1,2,"Lifesteal
∞<speed> Round end: Deal 2 damage to each opponent.",,y,,,,,,
Power Vacuum,3,aa,Spell,,0,,4,Destroy target<reality> allied unit to recall all<reality><dream> units with less <offense>.,,y,,,,,,
Lentolm Raven,2,a,Unit,,2,3,1,"Flying
∞<speed> Arrive: Create<reality> a Supply Cache.",,y,,,,,,
\,2,aa,Unit,,-1,2,1,Dies: Deal 1 damage to up to two target<reality><dream> cards and/or players.,,n,,,,,,
Goblin Bomber,1,a,Unit,,-1,2,1,Dies: Deal 2 damage to up to target<reality> card or player.,,n,,,,,,
\,1,aa,Unit,,0,2,1,∞<speed> Round End: Summon ~ from your memory.,,n,,,,,,
\,1,a,Spell,,3,,3,"Choose one --
- Enemy<dream> cards lose breakpoint. Draw 1.
- ",,n,,,,,,
\,3,aaa,Spell,,3,,4,Recall a card from your memory to deal damage equal to it's base cost to target<dream> card.,,n,,,,,,
\,1,a,Unit,,0,3,2,∞<speed> Arrive<reality>: Discard<hand><reality> a unit.,,n,,,,,,
\,1,a,Spell,,3,,4,"Void target<dream><reality> card, then it's controller summons it to dream.",,n,,,,,,
Blinding Flash,2,aa,Spell,,2,,3,"Remove all units from combat.
Take 1 damage for each.",,y,,,,,,
\,4,aaa,Item,,-3,,4,Arrive: Summon target<memory> unit.,,n,,,,,,
\lose abilities,2,a,Spell,,3,,3,"Target<reality><dream> card loses all abilities this round.
Draw 1.",,n,#int,,,,,
\slowsand,2,aa,Spell,,2,,3,Up to two target<reality> units lose all abilities and get -2/-0 this round.,,n,#int,,,,,
\,2,a,Spell,,3,,3,"Choose One --
- Deal 4 damage to target<dream> unit.
- Each player takes 1 damage for each card<reality> they control.",,n,,,,,,
\,2,a,Spell,,3,,4,"Choose One --
- Destroy target<dream> card with base cost 3 or more.
- Each player discards<hand><channel><reality> 2 cards.",,n,,,,,,
\,2,a,Spell,,3,,3,Destroy target<dream> card with base speed 0 or less.,,n,,,,,,
,2,a,Spell,,3,,,"Choose One --
- Destroy target<dream> spell.
- ",,n,,,,,,
\lifesteal Claim,2,a,Claim,,0,,4,"Energize 2
Spellform 3<speed> | 1<energy>2<arca> -- Give target unit lifesteal this round. Draw 1.",,n,,,,,,
Soul Farmland,2,a,Claim,,1,,5,"∞<speed> Arrive<reality>: Draw 1.
Skill∞<speed> | Flip ~: Discard<reality> a card to draw 1.",,y,,,,,,
Wounded Ruins,2,a,Claim,,1,,4,∞<speed> Arrive<reality> and Round Start: Draw 1 and take 2 damage.,,y,,,,,,
\,2,a,Claim,,1,,5,"Energize 1, Bloodlust",,n,,,,,,
\,1,aa,Item,,2,,3,"Bloodlust
∞<speed> Arrive<reality>: Gain 2 life.",,n,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
--- Eminus ---,,,,,,,,,,,,,,,,
Portal to Another Realm,3,e,Item,,0,,4,Round start: Void target<reality> card. It's owner summons it next time they attack.,,y,#int #blink1,,,,,
Talent Snatcher,2,ee,Unit,,0,2,3,∞<speed> Attack: Give ~ all abilities of target<reality> unit.,,y,#^attack,,,,,
Rolead the Swift,2,e,Unit,Orc Knight,2,2,2,"∞<speed> Arrive<reality>: Choose one --
- Gain 2 life.
- ~ strikes target player.",,y,#^arrive,,,,,
Channeled Knowledge,3,ee,Unit,,0,2,4,∞<speed> Arrive<reality>: Cache any number of your channeled cards.,,y,#cache1 #engine,,,,,
Sir Horus The Prepared,2,ee,Unit,Human Wizard Knight,2,2,1,"Arrive<reality>: Choose one --
- Recall target<reality> unit.
- Give target<reality> unit challenger this round.
- Draw 1.",,y,#int #recall1 #strike,,,,,
Devastating Decoy,3,ee,Item,,2,,3,"Vanishing
Arrive<reality>: Recall target<reality> unit.
Allied units have +2<offense>.",,y,#int #trick #aggro #recall1,,,,,
Liase of The two Scrolls,1,ee,Unit,Wizard Cleric,0,0,3,"Flying
∞<speed> Whenever you resolve a spell: Give target<reality> allied unit base stats 3<offense> 3<defense> this round.",,y,#spells2,,,,,
The Ole One Two,1,ee,Spell,,-1,,3,Give target<reality> unit double strike this round.,,y,,,,,,
Wolkk Twinspear,2,e,Unit,Human Knight,0,2,2,Double Strike,,y,,,,,,
Battle Rage,3,ee,Spell,,1,,4,"Give target<reality> unit +2<offense>, challenger, and overwhelm this round.
Draw 1.",,y,#trick,,,,,
Solemn Ranger,3,ee,Unit,,0,2,4,∞<speed> Whenever you resolve a card targeting ~: Summon a nonspell with base cost 2 or less from your memory.,,y,#heroic2 #memory2,,,,,
Solemn Angel,2,ee,Unit,,0,1,3,"Flying
∞<speed> Whenever you resolve a card targeting ~: Cache the top card of your deck.",,y,#heroic2,,,,,
Yulia of The Lake,3,eee,Unit,Human Knight,0,3,3,∞<speed> Whenever you resolve a card targeting ~: Create<reality> a Knight of Redemption.,,y,#heroic2 #Spells,mentor,,,,
\Named knight of redemption,2,ee,Unit,,0,1,3,"1 - Count | You resolve a card targetting an allied<reality><dream> card.
v - Count 3+
2 - Your cards cost 1<energy> less for each card they target.",,n,#heroic2,,,,,
